x,bias,model,N,d,width,F_model
7.8244,-2.0000,SRW,1024,12,4,-2.0000
8.8244,-2.0000,SRW,1024,12,4,-2.0000
9.8244,-2.0000,SRW,1024,12,4,-2.0000
10.8244,-2.0000,SRW,1024,12,4,-2.0000
11.8244,-2.0000,SRW,1024,12,4,-2.0000
12.8244,-2.0000,SRW,1024,12,4,-2.0000
0.3244,-0.9158,SRW,1024,12,5,-1.1659
1.3244,-1.3999,SRW,1024,12,5,-1.5893
2.3244,-1.7219,SRW,1024,12,5,-1.8624
3.3244,-1.9303,SRW,1024,12,5,-1.9629
4.3244,-2.0000,SRW,1024,12,5,-1.9906
5.3244,-2.0000,SRW,1024,12,5,-1.9976
6.3244,-2.0000,SRW,1024,12,5,-1.9994
7.3244,-2.0000,SRW,1024,12,5,-1.9999
8.3244,-2.0000,SRW,1024,12,5,-2.0000
9.3244,-2.0000,SRW,1024,12,5,-2.0000
10.3244,-2.0000,SRW,1024,12,5,-2.0000
11.3244,-2.0000,SRW,1024,12,5,-2.0000
12.3244,-2.0000,SRW,1024,12,5,-2.0000
0.8244,-1.1306,SRW,1024,12,6,-1.3393
1.8244,-1.5312,SRW,1024,12,6,-1.6812
2.8244,-1.7879,SRW,1024,12,6,-1.8940
3.8244,-1.9477,SRW,1024,12,6,-1.9715
4.8244,-2.0000,SRW,1024,12,6,-1.9927
5.8244,-2.0000,SRW,1024,12,6,-1.9982
6.8244,-2.0000,SRW,1024,12,6,-1.9995
7.8244,-2.0000,SRW,1024,12,6,-1.9999
8.8244,-2.0000,SRW,1024,12,6,-2.0000
9.8244,-2.0000,SRW,1024,12,6,-2.0000
10.8244,-2.0000,SRW,1024,12,6,-2.0000
11.8244,-2.0000,SRW,1024,12,6,-2.0000
-0.1206,-0.7144,SRW,1024,13,4,-0.9578
0.8794,-1.2565,SRW,1024,13,4,-1.4803
1.8794,-1.6448,SRW,1024,13,4,-1.8274
2.8794,-1.9156,SRW,1024,13,4,-1.9537
3.8794,-1.9996,SRW,1024,13,4,-1.9882
4.8794,-2.0000,SRW,1024,13,4,-1.9970
5.8794,-2.0000,SRW,1024,13,4,-1.9993
6.8794,-2.0000,SRW,1024,13,4,-1.9998
7.8794,-2.0000,SRW,1024,13,4,-2.0000
8.8794,-2.0000,SRW,1024,13,4,-2.0000
9.8794,-2.0000,SRW,1024,13,4,-2.0000
10.8794,-2.0000,SRW,1024,13,4,-2.0000
11.8794,-2.0000,SRW,1024,13,4,-2.0000
12.8794,-2.0000,SRW,1024,13,4,-2.0000
0.3794,-0.9769,SRW,1024,13,5,-1.1913
1.3794,-1.4345,SRW,1024,13,5,-1.6093
2.3794,-1.7402,SRW,1024,13,5,-1.8716
3.3794,-1.9397,SRW,1024,13,5,-1.9656
4.3794,-1.9997,SRW,1024,13,5,-1.9913
5.3794,-2.0000,SRW,1024,13,5,-1.9978
6.3794,-2.0000,SRW,1024,13,5,-1.9995
7.3794,-2.0000,SRW,1024,13,5,-1.9999
8.3794,-2.0000,SRW,1024,13,5,-2.0000
9.3794,-2.0000,SRW,1024,13,5,-2.0000
10.3794,-2.0000,SRW,1024,13,5,-2.0000
11.3794,-2.0000,SRW,1024,13,5,-2.0000
12.3794,-2.0000,SRW,1024,13,5,-2.0000
0.8794,-1.1802,SRW,1024,13,6,-1.3603
1.8794,-1.5586,SRW,1024,13,6,-1.6970
2.8794,-1.8021,SRW,1024,13,6,-1.9011
